subject_id,collected_at,trial_index,start_x,start_y,end_x,end_y,zone_x,zone_y,duration_ms,success
akshit,2026-06-24T11:05:19.196Z,4,60,459.5,686.40234375,178.0625,655.9893889315597,137.4137257300444,783.3999999985099,True
akshit,2026-06-24T11:05:19.196Z,5,60,459.5,707.8359375,159.52734375,654.3578119555061,122.41316774495705,916.5,True
akshit,2026-06-24T11:05:19.196Z,6,60,459.5,690.49609375,555.15234375,653.3368389599077,504.2057557761641,900.8999999985099,True
akshit,2026-06-24T11:05:19.196Z,7,60,459.5,675.94140625,601.3125,638.9450237961291,547.1103399676773,750.6000000014901,True
akshit,2026-06-24T11:05:19.196Z,8,60,459.5,686.9765625,217.29296875,650.167582515771,152.12631526290517,883.5,True
akshit,2026-06-24T11:05:19.196Z,9,60,459.5,698.78125,441.2890625,651.2007696787724,397.8308486498818,1084.1999999955297,True
akshit,2026-06-24T11:05:19.196Z,10,60,459.5,696.234375,363.5078125,653.3917556341869,323.9661438236845,866.5,True
test1,2026-06-25T19:27:50.508Z,1,60,331.0,685.5,537.5,651.1128541459216,492.4261482527165,1006.0,True
test1,2026-06-25T19:27:50.508Z,2,60,331.0,686.0,356.0,645.8981545010381,315.7489939303524,851.0,True
test1,2026-06-25T19:27:50.508Z,3,60,331.0,677.5,431.5,638.5425746891583,385.36356109949566,1226.0,True
test1,2026-06-25T19:27:50.508Z,4,60,331.0,687.5,515.5,639.9126920087966,481.8356074614475,942.0,True
test1,2026-06-25T19:27:50.508Z,5,60,331.0,686.5,376.5,639.7032490335754,340.71069245595726,1264.0,True
test1,2026-06-25T19:27:50.508Z,6,60,331.0,679.0,434.0,643.6813372198404,388.55200656464035,1221.0,True
test1,2026-06-25T19:27:50.508Z,7,60,331.0,695.5,538.5,655.2765472386712,487.34749124544896,1731.0,True
test1,2026-06-25T19:27:50.508Z,8,60,331.0,705.0,182.0,650.8569892556644,139.2361707597171,1249.0,True
test1,2026-06-25T19:27:50.508Z,9,60,331.0,701.5,144.5,651.213859024172,91.68028063494644,914.0,True
