subject_id,collected_at,x,y,ts,dx,dy,pressure
amehta,2026-06-26T10:03:59.436Z,762.0,763.0,2912.5,2.0,4.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,765.0,2929.1000000089407,0.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,766.0,2945.9000000059605,0.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,766.0,2978.20000000298,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,765.0,3062.6000000089407,0.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,763.0,3079.0,0.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,758.0,3095.6000000089407,0.0,-5.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,752.0,3112.300000011921,0.0,-6.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,745.0,3128.9000000059605,0.0,-7.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,739.0,3145.800000011921,0.0,-6.0,0.5
amehta,2026-06-26T10:03:59.436Z,761.0,731.0,3162.4000000059605,-1.0,-8.0,0.5
amehta,2026-06-26T10:03:59.436Z,760.0,726.0,3178.300000011921,-1.0,-5.0,0.5
amehta,2026-06-26T10:03:59.436Z,758.0,720.0,3195.800000011921,-2.0,-6.0,0.5
amehta,2026-06-26T10:03:59.436Z,758.0,716.0,3212.70000000298,0.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,757.0,713.0,3229.1000000089407,-1.0,-3.0,0.5
amehta,2026-06-26T10:03:59.436Z,756.0,710.0,3262.4000000059605,-1.0,-3.0,0.5
amehta,2026-06-26T10:03:59.436Z,756.0,710.0,3279.20000000298,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,756.0,710.0,3295.70000000298,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,756.0,710.0,3461.5,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,758.0,710.0,3479.1000000089407,2.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,759.0,710.0,3496.20000000298,1.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,761.0,710.0,3512.5,2.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,761.0,710.0,3529.0,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,762.0,710.0,3546.20000000298,1.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,764.0,711.0,3562.300000011921,2.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,765.0,713.0,3579.20000000298,1.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,767.0,716.0,3595.70000000298,2.0,3.0,0.5
amehta,2026-06-26T10:03:59.436Z,768.0,719.0,3612.300000011921,1.0,3.0,0.5
amehta,2026-06-26T10:03:59.436Z,769.0,725.0,3629.0,1.0,6.0,0.5
amehta,2026-06-26T10:03:59.436Z,770.0,728.0,3645.800000011921,1.0,3.0,0.5
amehta,2026-06-26T10:03:59.436Z,770.0,733.0,3662.400000005961,0.0,5.0,0.5
amehta,2026-06-26T10:03:59.436Z,771.0,738.0,3679.0,1.0,5.0,0.5
amehta,2026-06-26T10:03:59.436Z,771.0,744.0,3695.800000011921,0.0,6.0,0.5
amehta,2026-06-26T10:03:59.436Z,771.0,749.0,3712.400000005961,0.0,5.0,0.5
amehta,2026-06-26T10:03:59.436Z,771.0,754.0,3729.1000000089407,0.0,5.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,760.0,3762.800000011921,1.0,6.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,762.0,3795.70000000298,0.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,763.0,3812.400000005961,0.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,763.0,3829.1000000089407,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,763.0,3862.400000005961,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,763.0,98453.20000000298,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,774.0,764.0,98473.30000001192,2.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,775.0,765.0,98490.20000000298,1.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,776.0,765.0,98506.60000000894,1.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,777.0,766.0,98523.20000000298,1.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,777.0,766.0,98540.0,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,779.0,767.0,98556.80000001192,2.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,780.0,767.0,98579.30000001192,1.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,786.0,767.0,98607.60000000894,6.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,790.0,766.0,98640.10000000894,4.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,791.0,765.0,98656.60000000894,1.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,791.0,764.0,98673.30000001192,0.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,792.0,762.0,98690.10000000894,1.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,792.0,760.0,98706.70000000298,0.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,792.0,757.0,98723.20000000298,0.0,-3.0,0.5
amehta,2026-06-26T10:03:59.436Z,793.0,754.0,98739.90000000596,1.0,-3.0,0.5
amehta,2026-06-26T10:03:59.436Z,793.0,750.0,98756.70000000298,0.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,794.0,746.0,98774.20000000298,1.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,795.0,741.0,98789.90000000596,1.0,-5.0,0.5
amehta,2026-06-26T10:03:59.436Z,796.0,737.0,98806.60000000894,1.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,797.0,734.0,98823.20000000298,1.0,-3.0,0.5
amehta,2026-06-26T10:03:59.436Z,799.0,730.0,98840.10000000894,2.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,800.0,726.0,98856.60000000894,1.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,802.0,723.0,98873.20000000298,2.0,-3.0,0.5
amehta,2026-06-26T10:03:59.436Z,803.0,719.0,98889.80000001192,1.0,-4.0,0.5
amehta,2026-06-26T10:03:59.436Z,805.0,717.0,98906.5,2.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,806.0,715.0,98923.40000000596,1.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,807.0,713.0,98941.10000000894,1.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,813.0,704.0,98973.30000001192,6.0,-9.0,0.5
amehta,2026-06-26T10:03:59.436Z,817.0,698.0,98989.90000000596,4.0,-6.0,0.5
amehta,2026-06-26T10:03:59.436Z,822.0,690.0,99006.60000000894,5.0,-8.0,0.5
amehta,2026-06-26T10:03:59.436Z,828.0,683.0,99023.5,6.0,-7.0,0.5
amehta,2026-06-26T10:03:59.436Z,832.0,676.0,99039.40000000596,4.0,-7.0,0.5
amehta,2026-06-26T10:03:59.436Z,836.0,671.0,99056.60000000894,4.0,-5.0,0.5
amehta,2026-06-26T10:03:59.436Z,839.0,666.0,99073.40000000596,3.0,-5.0,0.5
amehta,2026-06-26T10:03:59.436Z,841.0,664.0,99090.0,2.0,-2.0,0.5
amehta,2026-06-26T10:03:59.436Z,842.0,663.0,99106.60000000894,1.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,843.0,662.0,99123.70000000298,1.0,-1.0,0.5
amehta,2026-06-26T10:03:59.436Z,843.0,662.0,99139.80000001192,0.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,842.0,662.0,99239.60000000894,-1.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,841.0,663.0,99256.60000000894,-1.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,839.0,663.0,99273.40000000596,-2.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,837.0,664.0,99290.90000000596,-2.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,833.0,666.0,99323.90000000596,-4.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,831.0,666.0,99340.10000000894,-2.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,829.0,667.0,99357.70000000298,-2.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,825.0,669.0,99389.90000000596,-4.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,817.0,673.0,99406.80000001192,-8.0,4.0,0.5
amehta,2026-06-26T10:03:59.436Z,810.0,675.0,99423.20000000298,-7.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,802.0,676.0,99439.90000000596,-8.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,793.0,678.0,99457.5,-9.0,2.0,0.5
amehta,2026-06-26T10:03:59.436Z,783.0,679.0,99473.10000000894,-10.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,772.0,680.0,99489.90000000596,-11.0,1.0,0.5
amehta,2026-06-26T10:03:59.436Z,761.0,680.0,99506.60000000894,-11.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,751.0,680.0,99523.40000000596,-10.0,0.0,0.5
amehta,2026-06-26T10:03:59.436Z,742.0,679.0,99539.0,-9.0,-1.0,0.5
