subject_id,collected_at,trial_index,target_x,target_y,click_x,click_y,appeared_at,clicked_at,travel_time_ms,error_px
shreyandh,2026-06-24T10:59:42.484Z,17,564.014195612513,176.59840348739613,559,184,250266.0,251491.0,1225.0,8.940122402737835
shreyandh,2026-06-24T10:59:42.484Z,18,656.0262991519973,102.85519872069065,649,90,251582.0,252588.0,1006.0,14.650085799127726
shreyandh,2026-06-24T10:59:42.484Z,19,617.893613846629,424.4768898927197,611,426,252684.0,253809.0,1125.0,7.059870839139674
shreyandh,2026-06-24T10:59:42.484Z,20,84.73903995933675,350.8693464253737,100,344,253900.0,254968.0,1068.0,16.73573487106302
shreyandh,2026-06-24T10:59:42.484Z,21,57.57263270672845,413.9835442240275,63,419,255059.0,256470.0,1411.0,7.390611902160833
shreyandh,2026-06-24T10:59:42.484Z,22,97.34275186207972,551.4565881953374,116,564,256560.0,257615.0,1055.0,22.481772345197303
shreyandh,2026-06-24T10:59:42.484Z,23,344.23069117910836,455.07135331179245,341,470,257714.0,258858.0,1144.0,15.274221991188252
shreyandh,2026-06-24T10:59:42.484Z,24,430.6304550191982,340.8109179878861,436,341,258949.0,259864.0,915.0,5.372873096226877
shreyandh,2026-06-24T10:59:42.484Z,25,70.480191686802,154.23967867563286,78,151,259955.0,261133.0,1178.0,8.18798113020493
akshit,2026-06-24T11:05:19.196Z,1,721.432703416105,437.018719353425,725,451,205288.30000000447,208112.6000000015,2824.2999999970198,14.429200027574675
akshit,2026-06-24T11:05:19.196Z,2,122.7336431536432,557.6467243057468,134,565,208204.20000000298,209212.70000000298,1008.5,13.453678308371476
akshit,2026-06-24T11:05:19.196Z,3,294.8411682783848,296.2141099742907,290,306,209303.20000000298,210512.5,1209.2999999970198,10.91790061755997
akshit,2026-06-24T11:05:19.196Z,4,400.34459305501184,172.9601319113279,400,191,210603.6000000015,211729.80000000447,1126.2000000029802,18.043158953749
akshit,2026-06-24T11:05:19.196Z,5,119.72787774299978,707.1781236000859,120,721,211821.1000000015,212895.70000000298,1074.6000000014901,13.824554883874482
akshit,2026-06-24T11:05:19.196Z,6,316.57133536238564,452.7233254009348,315,458,212986.5,214029.80000000447,1043.3000000044703,5.505668864498062
