subject_id,collected_at,segment,key_id,key_category,press_ts,release_ts,dwell_ms
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,14475.80000001192,14576.60000000894,100.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,b,alphanum,14696.5,14763.40000000596,66.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,14908.0,14958.0,50.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,x,alphanum,15024.5,15138.70000000298,114.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,15206.70000000298,15282.10000000894,75.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,w,alphanum,15495.80000001192,15598.90000000596,103.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,15590.5,15676.20000000298,85.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,15680.30000001192,15790.80000001192,110.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,15841.80000001192,15893.40000000596,51.599999994039536
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,15885.40000000596,15990.90000000596,105.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,f,alphanum,16078.0,16196.90000000596,118.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,16209.70000000298,16314.60000000894,104.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,v,alphanum,16417.0,16528.60000000894,111.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,16512.80000001192,16645.40000000596,132.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,16625.40000000596,16716.60000000894,91.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,d,alphanum,16793.90000000596,16894.60000000894,100.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,16899.20000000298,16977.30000001192,78.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,z,alphanum,17245.80000001192,17390.30000001192,144.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,17397.40000000596,17541.20000000298,143.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,17546.60000000894,17625.30000001192,78.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,17647.10000000894,17759.40000000596,112.29999999701975
